title,artist,mappers,difficulties_amount,version
Challenger,Creo,Crucru03,1,1
Crazy,Creo,Robineesti11,1,1
Dark Tides,Creo,Robineesti11,1,1
Dimension,Creo,X3Corsaka,1,1
Epilogue,Creo,Azurlexx,1,1
Octane,Creo,Robineesti11,1,1
Red Haze,Creo,Robineesti11,1,1
End time,CRES,ob1cb,1,1
Red Shift,Cubed,M4eu & DyamoDash,1,1
Impulse,Culprate & Au5,Plxsma_RBLX,1,1
Finger VIP,Culprate,GDWither,1,1
Get smooshed!,Cursedsnake,DyamoDash,1,1
Surprise,cute girls doing cute things,Azurlexx,1,1
Classic Pursuit,cYsmix,OKMasterz,1,1
Fright March,cYsmix,OKMasterz,1,1
Peer Gynt,cYsmix,OKZitro,1,1
CRUtAN,CYSYS8993,ZitroNitro,1,1
The Whole Rest,Cytus II,Naoriwa,1,1
An Invitation From Mr. C,C-Show,iMasterzzRBLX,1,1
Ms. Rave & Mr. Bounce,C-Show & DJ Noriken,OKZitro & Azurlexx,1,1
LubedeR,C-Show,Azurlexx,1,1
Music is The Answer,C-Show,Username_NotRequired,1,1
On The FM,C-Show,iMasterzzRBLX,1,1
"Burger, Nuggets",Daft Punk,BatBrice,1,1
"Harder, Better, Faster, Stronger (Remix)",Daft Punk,Plxsma_RBLX,1,1
One More Time (Hydro Mix),Daft Punk,skippingbee,1,1
All My Life,Daiki Kasho,TotoPowah,1,1
Astronomia (USAO a.k.a Daily Mix),Daily,DyamoDash,1,1
-+,daisan,BlueyGD,1,1
MINECRAFT CREEPER RAP,Dan Bull,Noobisnotbad1,1,1
Poems Are Forever,Dan Salvato,AddictedToping,1,1
Dangerous Slot,Laur,"Water,ob1cb & fogsaturate",3,1
Dangerous Slot,Laur,"Water,ob1cb & fogsaturate",3,1
Jojo Wrap-Up,Daniel Ingram ft. Coda,UsernameNotRequired,1,1
Flawless,Daniel Ingram,Username_NotRequired,1,1
Smile Song (Foozogz Remix),Daniel Ingram,Username_NotRequired,1,1
